Country,Category
Algeria,Developing
Angola,Developing
Argentina,Developing
Australia,Developed
Austria,Developed
Azerbaijan,Developing
Bangladesh,Developing
Belarus,Developing
Belgium,Developed
Benin,Developing
Bolivia,Developing
Botswana,Developing
Brazil,Developing
Bulgaria,Developing
Cambodia,Developing
Cameroon,Developing
Canada,Developed
Chile,Developing
China,Developing
Colombia,Developing
Costa Rica,Developing
Czech Republic,Developed
Denmark,Developed
Dominican Republic,Developing
Ecuador,Developing
Egypt,Developing
El Salvador,Developing
Ethiopia,Developing
Finland,Developed
France,Developed
Germany,Developed
Ghana,Developing
Greece,Developing
Guatemala,Developing
Haiti,Developing
Honduras,Developing
Hungary,Developing
India,Developing
Indonesia,Developing
Ireland,Developed
Israel,Developed
Italy,Developed
Japan,Developed
Jordan,Developing
Kazakhstan,Developing
Kenya,Developing
Kuwait,Developing
Malaysia,Developing
Mexico,Developing
Morocco,Developing
Mozambique,Developing
Myanmar,Developing
Nepal,Developing
Netherlands,Developed
New Zealand,Developed
Nicaragua,Developing
Nigeria,Developing
Norway,Developed
Oman,Developing
Pakistan,Developing
Panama,Developing
Paraguay,Developing
Peru,Developing
Philippines,Developing
Poland,Developing
Portugal,Developing
Qatar,Developing
Romania,Developing
Russia,Developing
Saudi Arabia,Developing
Senegal,Developing
Serbia,Developing
Singapore,Developed
Slovakia,Developed
South Africa,Developing
Spain,Developed
Sri Lanka,Developing
Sudan,Developing
Sweden,Developed
Switzerland,Developed
Tajikistan,Developing
Tanzania,Developing
Thailand,Developing
Togo,Developing
Tunisia,Developing
Turkey,Developing
Ukraine,Developing
United Arab Emirates,Developing
United Kingdom,Developed
United States,Developed
Uruguay,Developing
Uzbekistan,Developing
Venezuela,Developing
Vietnam,Developing
Zambia,Developing
