Country,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,75.7,76.2,76.4,75.5,76.8,73.1,71.3,71.6,75.4
Azerbaijan,AZE,63,62,56.4,59.9,64.4,63.3,62.3,62.6,59.8
Bangladesh,BGD,48.7,49.1,49.5,51.7,51.9,51.6,50,49.1,54
Belarus,BLR,65.8,68.5,68.3,71.3,72,73.3,73.8,70.9,64.5
Cambodia,KHM,50,48.7,49.2,52.1,52.6,52.4,51.5,53,55.7
China,CHN,69.8,71.5,71.9,73.4,73,69.4,69.3,71.3,74.2
India,IND,56.1,56.3,58.3,57.9,59.3,55.1,56.2,57.2,58.9
Indonesia,IDN,55.1,58.6,58.8,61.6,60.6,60.9,59.5,59.2,60.2
Japan,JPN,76.2,78,77.7,78.2,78.9,78.4,77.9,79.3,79.5
Kazakhstan,KAZ,63.4,63.3,65,66.2,67,68.1,70.8,69.2,72.1
Malaysia,MYS,69.7,68.1,67.5,67,68.1,67.7,67.9,70.1,69.9
Myanmar,MMR,49.1,47.9,53.4,54.9,54.7,56.3,56.6,56.7,57.6
Nepal,NPL,49.2,46.1,52.2,52.6,53.5,51.2,53,53.7,56.9
New Zealand,NZL,78.7,78.6,78.2,77.4,78.1,77.8,77,76.8,77.8
Pakistan,PAK,51.6,51.6,52.4,51.4,56.1,49.7,52.3,54.7,52.2
Philippines,PHL,54.8,56,56.3,56.1,55.3,57.6,55.7,60,59.3
Russia,RUS,63,62.6,67.8,70.3,70.3,72.1,73.7,74.8,69.1
Singapore,SGP,74,74.3,73.4,74.1,75,76.4,75.7,77.4,73.1
Sri Lanka,LKA,54.2,56.6,58.3,57,61.3,56,54.8,54.1,55.2
Tajikistan,TJK,44.8,46.2,46.8,46.5,48.6,48.5,49.4,51.6,56.7
Thailand,THA,64,65.1,65.2,64,64.4,62.9,64,64.5,60.1
Uzbekistan,UZB,49.7,51.8,55,52.5,52.9,50,50.9,53.8,57.5
Vietnam,VNM,61.8,63.1,62.4,62.7,61.9,60.8,60.3,61.1,67.9
