Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,23475686,23815995,24190907,24601860,24982688,25365745,25499884,25685412,26018721
Azerbaijan,AZE,9535079,9649341,9757812,9854033,9939771,10024283,10139177,10137750,10141756
Bangladesh,BGD,154520167,156256276,157970840,159670593,161356039,163046161,164689383,167658854,169384897
Belarus,BLR,9474511,9489616,9501534,9498264,9483499,9417849,9449323,9302585,9228071
Cambodia,KHM,15274503,15521436,15766293,16009414,16249798,16486542,16718965,16974305,17201724
China,CHN,1364270000,1371220000,1378665000,1386395000,1392730000,1397715000,1439323776,1412360000,1412175000
India,IND,1295604184,1310152403,1324509589,1338658835,1352617328,1366417754,1380004385,1414203896,1425423212
Indonesia,IDN,255129004,258383256,261554226,264645886,267663435,270625568,273523615,276758053,278830529
Japan,JPN,127276000,127141000,126994511,126785797,126529100,126264931,126476461,125681593,125124989
Kazakhstan,KAZ,17288285,17542806,17794055,18037776,18276452,18513673,18776707,19743603,20034609
Malaysia,MYS,29866559,30270962,30684804,31105028,31528585,31949777,32365999,34282399,34695493
Myanmar,MMR,52280807,52680726,53045226,53382581,53708395,54045420,54409800,53387102,53756787
Nepal,NPL,26906926,27015031,27261131,27627124,28087871,28608710,29136808,29475010,29715436
New Zealand,NZL,4516500,4609400,4714100,4813600,4900600,4979300,4822233,5084600,5081700
Pakistan,PAK,195306825,199426964,203627284,207896686,212215030,216565318,220892340,239477801,243700667
Philippines,PHL,100513138,102113212,103663927,105173264,106651922,108116615,109581078,113100950,113964338
Russia,RUS,143819667,144096870,144342397,144496739,144477859,144406261,145934462,144746762,144236933
Singapore,SGP,5469724,5535002,5607283,5612253,5638676,5703569,5850342,5453566,5637022
Sri Lanka,LKA,20778000,20970000,21203000,21444000,21670000,21803000,21413249,22156000,22181000
Tajikistan,TJK,8252833,8454028,8663579,8880268,9100837,9321018,9537645,9966908,10182222
Thailand,THA,68438730,68714511,68971331,69209858,69428524,69625582,69799978,71727332,71735329
Uzbekistan,UZB,30757700,31298900,31847900,32388600,32956100,33580350,33469203,34243696,34938955
Vietnam,VNM,91714595,92677076,93638724,94596642,95540395,96462106,97338579,98935098,99680655
